,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4253640540938997760,281.07894675396,-4.98919647373,-1.095,-3.559,-0.1497,17.526415,0.5
1,4253640540938998016,281.08598532303,-4.98299436214,-1.139,-3.218,0.2918,17.678635,0.3
2,4253639780670304000,281.09558067394,-4.99898009685,-1.565,-2.878,0.2103,16.158398,0.3
3,4253646893130454784,281.08433101277,-4.9347869427,-0.992,-3.687,0.2071,15.213123,0.5
4,4253640850177433216,281.04635212713,-4.96876714702,-1.445,-4.298,-0.1447,16.196548,0.1
5,4253646966218243840,281.11641638688,-4.91689654064,-0.786,-2.891,0.2266,17.070723,0.2
6,4253640712737977472,281.08179901468,-4.97037812526,-1.928,-3.462,-0.2044,17.308224,0.3
7,4253646691339555712,281.1347525485,-4.94200090108,-0.529,-4.232,0.3186,17.137478,0.3
8,4253646824419617280,281.0877539251,-4.93860562464,-0.965,-3.837,0.1749,17.430948,0.8
9,4253646828798649472,281.09031215418,-4.93508253484,-0.915,-3.599,0.1314,17.037628,0.6
10,4253645797986033536,281.13218068029,-4.96081741156,-1.746,-2.944,-0.0507,17.569601,0.2
11,4253640644018221568,281.09211082401,-4.97696099159,-1.37,-3.857,-0.0567,17.88275,0.5
12,4253646725719282688,281.15565109916,-4.92772896185,-1.111,-3.455,0.2548,16.906614,0.2
13,4253640644018221696,281.09260228786,-4.97671122055,-0.324,-2.867,0.1913,16.273546,0.1
14,4253641017615187072,281.07675705828,-4.9396397197,-1.128,-3.226,0.3276,17.799837,0.4
15,4253647442886419200,281.12537236871,-4.88848935571,-1.494,-2.811,0.2505,15.928203,0.1
16,4253646858779428224,281.10154564553,-4.92891947672,-0.959,-4.558,0.1218,17.551563,0.1
17,4253646927498905728,281.09391430054,-4.92248593438,-0.604,-3.624,0.2404,17.20295,0.3
18,4253639785024445696,281.09541945816,-4.99098884337,-1.537,-3.478,0.1618,17.499018,0.2
19,4253646931858912128,281.09124147993,-4.91910536039,-1.134,-2.702,0.05,17.936941,0.4
20,4253646897518136704,281.09021536267,-4.93231188134,-1.337,-4.084,0.2803,15.101232,0.4
21,4253647034938126464,281.10216461615,-4.90974799078,-1.298,-3.651,0.3239,16.002949,0.3
22,4253640192981456000,281.04330553198,-4.99392503003,-1.722,-3.623,0.0384,16.380419,0.1
23,4253646553920625536,281.10849447827,-4.95829745455,-1.348,-4.225,0.2029,15.608876,0.3
24,4253640639653777664,281.10509239047,-4.97510781723,-0.948,-3.691,0.0682,16.645555,0.7
25,4253646790046555136,281.13003511138,-4.92041933071,-0.776,-2.905,0.2689,17.408926,0.3
26,4253647069316833024,281.11957424836,-4.9050268849,-1.174,-2.944,0.3186,15.28502,0.2
27,4253639918099272320,281.10995679314,-4.97486941152,-0.691,-3.772,0.2352,16.441793,0.4
28,4253639853770269312,281.12962717277,-4.98169512619,-0.319,-3.088,0.0918,17.080404,0.2
29,4253641021976289792,281.07597215359,-4.93246743335,-0.883,-3.946,0.196,17.622576,0.4
30,4253647069316834944,281.12584001483,-4.8991243353,-1.926,-3.308,0.3736,13.437562,0.1
31,4253640742732999808,281.10183914486,-4.95417663977,-1.302,-2.912,0.2878,15.489003,0.3
32,4253640811451897472,281.07273084942,-4.9679368833,-1.149,-3.184,0.216,16.404947,0.4
33,4253646828779338368,281.09121241032,-4.93659179265,-1.757,-3.966,0.3386,17.691372,0.2
34,4253647442894991232,281.13191312652,-4.89461756851,-1.564,-3.92,0.1942,14.607769,0.4
35,4253639853770273408,281.12567507985,-4.98371636834,-1.036,-3.533,-0.0475,16.73114,0.3
36,4253647034957099136,281.11408942372,-4.90812937901,-1.81,-3.196,0.2957,15.90771,0.4
37,4253646897518148352,281.08182386612,-4.9359531166,-1.004,-3.578,0.196,14.942595,0.7
38,4253647000597313664,281.1255925881,-4.91242845562,-1.277,-3.876,0.4054,17.082502,0.3
39,4253641021976112768,281.07794978806,-4.94255905902,-0.61,-3.684,0.1208,16.588413,0.7
40,4253646790046566272,281.14651186537,-4.9184180861,-1.235,-3.395,0.1368,13.874316,0.2
41,4253647069316843136,281.11816960749,-4.90347843197,-1.404,-3.28,0.1879,17.541872,0.3
42,4253646897518150656,281.08313394463,-4.93445183767,-1.52,-4.175,0.41,17.958971,0.3
43,4253646790046566528,281.14338374275,-4.91894675295,-1.23,-3.48,0.1867,16.574697,0.3
44,4253640884537198080,281.05896818582,-4.95581699226,-1.485,-3.16,0.1412,17.268822,0.3
45,4253646828779320448,281.08728628919,-4.94075077606,-1.085,-3.544,0.1691,17.268284,0.4
46,4253646897499189248,281.07716890684,-4.931042591,-1.432,-3.739,0.1061,16.882702,0.4
47,4253646588260432384,281.12856226965,-4.94254163637,-1.314,-3.628,0.1826,17.512476,0.4
48,4253639883749551360,281.10493101848,-4.98113932965,-1.072,-3.193,0.209,16.31188,0.1
49,4253639819383805568,281.11966401205,-4.98861282642,-1.35,-3.204,0.3443,17.374865,0.1
50,4253640678377780096,281.10873238354,-4.97301449526,-1.534,-3.012,0.3486,17.154243,0.1
51,4253646553920616448,281.11919784839,-4.95241956776,-0.406,-4.225,0.1541,17.001902,0.1
52,4253645729258808960,281.13142529951,-4.97867381132,-1.644,-3.914,0.3236,17.143324,0.3
53,4253647374162516736,281.1340500186,-4.90342231109,-1.197,-2.962,0.3872,17.11155,0.2
54,4253646863139062144,281.09924277734,-4.93040602814,-1.023,-3.585,-0.0168,17.918293,0.4
55,4253640575299168640,281.05498217864,-4.98470658418,-0.718,-3.805,0.3216,17.381208,0.3
56,4253646996205394176,281.12776155916,-4.90447562006,-0.525,-3.662,0.3686,15.115105,0.2
57,4253646863158346240,281.11184731105,-4.9284785544,-1.675,-3.466,0.1064,16.900305,0.2
58,4253646686967286400,281.14252935087,-4.93575559636,-1.04,-3.852,0.1814,15.74451,0.2
59,4253646828798609792,281.09338248492,-4.94409545046,-1.641,-4.295,0.335,17.224657,0.2
60,4253646618247740160,281.10760612773,-4.95325061099,-1.781,-3.827,-0.025,17.646593,0.2
61,4253646721327026176,281.14849848683,-4.93371693087,-0.962,-3.723,0.1958,17.114853,0.3
62,4253646760079079424,281.12498927458,-4.93509830739,-0.67,-2.867,0.2367,17.040373,0.2
63,4253646897499126016,281.08450806304,-4.92771910963,-0.518,-3.519,0.0824,17.593302,0.4
64,4253640918896802048,281.07150802019,-4.9543936943,-0.552,-3.718,0.001,17.368868,0.3
65,4253645931057812096,281.14728167317,-4.9461582021,-1.574,-4.306,0.0551,17.363924,0.2
66,4253640953282094336,281.08587803049,-4.94031623531,-1.069,-3.885,0.2757,16.249325,0.4
67,4253646652607557248,281.10902683465,-4.93867506412,-1.058,-3.073,0.1502,16.30883,0.1
68,4253646927478639104,281.09185813442,-4.9240068451,-0.152,-3.698,0.3013,17.970795,0.2
69,4253646858765987200,281.10796892328,-4.93428236018,-1.483,-4.204,-0.1382,15.243112,0.5
70,4253646828798619392,281.09532029255,-4.93936997242,-1.329,-4.097,0.0459,16.589827,0.5
71,4253646686967295232,281.1411397623,-4.93202568512,-1.889,-3.599,0.1959,15.625365,0.3
72,4253640884562637568,281.05675580522,-4.9567870979,-0.374,-3.284,0.3049,16.39017,0.1
73,4253646897499133056,281.07761366903,-4.93112760089,-1.061,-3.748,0.3238,15.697288,0.1
74,4253646549533095040,281.12663589776,-4.95704456711,-1.449,-3.061,0.3245,15.367657,0.1
75,4253647034938092160,281.10508362416,-4.90902816107,-0.987,-3.374,0.1884,16.957676,0.3
76,4253640983250672128,281.06529554629,-4.95264076201,-1.366,-3.581,0.3261,14.954958,0.3
77,4253646588260319744,281.12616895268,-4.95067777674,-0.856,-3.043,0.2142,17.767412,0.1
78,4253646553920615936,281.11787201875,-4.95367045997,-1.615,-3.652,0.3542,17.806051,0.2
79,4253646897499078016,281.08041714946,-4.93353385388,-1.514,-4.142,0.0007,17.630764,0.4
80,4253646966237584000,281.11457427086,-4.91998372404,-0.791,-3.519,0.1609,15.804302,1.0
81,4253646828798630016,281.09331019547,-4.93876829689,-1.301,-3.746,0.2417,17.558466,0.2
82,4253646760079070336,281.13325912757,-4.93036141152,-1.606,-4.192,0.3843,16.880018,0.1
83,4253647412914185728,281.14283847338,-4.89415938533,-1.572,-4.152,0.161,16.032234,0.1
84,4253646931858889216,281.0926154221,-4.91945145919,-1.462,-2.828,0.3702,17.503948,0.3
85,4253640850202900224,281.04569805432,-4.96615362822,-1.618,-3.301,0.2407,14.933076,0.4
86,4253646691359558656,281.13783836946,-4.93876417071,-1.113,-2.747,0.3338,14.669154,0.2
87,4253640918896713088,281.07423874679,-4.95777722892,-0.365,-3.225,0.1546,17.936676,0.2
88,4253646961845222656,281.11846524638,-4.92574856609,-1.333,-3.862,0.2279,17.784641,0.2
89,4253640987616380928,281.0704428483,-4.94870165467,-0.643,-3.255,0.0607,16.23237,0.5
90,4253646966237594112,281.11363200105,-4.9176798558,-1.669,-3.884,0.255,14.429616,0.2
91,4253646858766011008,281.10230099323,-4.92693207132,-1.626,-4.279,0.2012,16.7553,0.3
92,4253646858766010496,281.10841519704,-4.92920622364,-0.522,-3.705,0.1892,15.66017,0.4
93,4253646553900594432,281.11230227092,-4.96207368196,-0.399,-2.865,0.1422,14.218951,0.1
94,4253647069298825984,281.12522326184,-4.90202677148,-1.123,-3.079,-0.134,17.629091,0.4
95,4253646828798643968,281.09245406189,-4.93491108632,-0.884,-3.565,0.2166,15.911436,0.7
96,4253647408522258688,281.14557806483,-4.89398550104,-0.464,-2.796,0.1881,16.370138,0.1
97,4253640605286711552,281.06613449173,-4.97762465914,-1.144,-3.781,0.2188,16.60933,0.6
98,4253640609684644352,281.0712465766,-4.98246124293,-0.823,-3.533,0.0762,16.215405,0.9
99,4253646760059243008,281.13165982521,-4.93291645861,-0.604,-2.903,0.4159,16.955835,0.1
100,4253639785024190976,281.10454550004,-4.9963643927,-1.096,-4.118,0.0806,17.196981,0.3
101,4253639888130024320,281.11095996132,-4.99200862789,-1.436,-2.847,0.204,16.145369,0.1
102,4253640811451881856,281.06102295332,-4.97120902056,-1.01,-3.195,0.263,15.638668,0.5
103,4253640467854500992,281.03241299156,-4.971626057,-0.842,-3.717,0.3527,16.368572,0.3
104,4253647069316967424,281.11956974257,-4.89549419182,-0.76,-4.101,0.4056,16.810057,0.3
105,4253646828779114880,281.10203027285,-4.93830988595,-1.469,-4.254,0.2661,17.945799,0.2
106,4253640987616416640,281.06802675992,-4.94816620679,-1.206,-3.703,0.2318,17.641808,0.3
107,4253645793613951360,281.13584404839,-4.96889427551,-0.963,-2.89,0.2677,14.972056,0.1
108,4253640777092152960,281.05278304252,-4.97335582393,-1.383,-4.042,0.0085,15.932559,0.4
109,4253646794420820864,281.14013831108,-4.91794157913,-1.036,-3.815,0.0394,17.562662,0.3
110,4253640850177591296,281.03854078634,-4.96596048866,-1.356,-3.675,0.3218,17.829515,0.2
111,4253640609684653312,281.07807223009,-4.97269794089,-1.534,-2.751,0.2884,17.340616,0.3
112,4253646966218013184,281.12467285488,-4.92105128426,-0.666,-3.354,0.3658,17.984077,0.2
113,4253639716331325440,281.10316848073,-5.00112868868,-0.879,-2.967,0.2285,16.49828,0.2
114,4253640747097657728,281.10279831691,-4.95534415949,-0.968,-3.724,-0.0014,16.882082,0.6
115,4253640953256480768,281.0812762833,-4.94927286095,-1.803,-3.909,0.1338,17.782288,0.3
116,4253640708365942784,281.08197987369,-4.96094849565,-1.808,-3.507,0.2689,16.790321,0.2
117,4253640811451897344,281.06838729489,-4.96875215204,-0.55,-3.635,0.1565,15.586305,0.4
118,4253647481633696000,281.13677669983,-4.88939872677,-1.168,-4.151,0.2712,15.593309,0.2
119,4253640948891429632,281.0814458547,-4.95484620086,-1.649,-3.756,0.1892,15.911345,0.5
120,4253640880164636544,281.05422451219,-4.95776822327,-1.235,-3.193,0.4242,17.441402,0.2
121,4253646931858672000,281.09855740945,-4.92437768679,-1.398,-3.228,-0.1599,17.876116,0.5
122,4253640781457729408,281.05369314062,-4.97725181778,-1.236,-2.792,0.1751,17.91316,0.2
123,4253645827973705088,281.13981122553,-4.96576815733,-1.02,-3.409,0.0823,17.153723,0.5
124,4253640880176224640,281.04811188351,-4.95834339112,-0.936,-4.303,0.3163,17.713173,0.2
125,4253646691359534976,281.14022286557,-4.94407395749,-0.996,-3.642,0.2003,16.321272,0.7
126,4253640777097010432,281.05388421813,-4.97896839824,-1.405,-4.408,0.0952,17.451067,0.1
127,4253640742725691648,281.08878412555,-4.96119150302,-1.686,-3.905,0.0388,17.194918,0.1
128,4253640502219106560,281.06688775217,-4.99414863095,-1.379,-3.918,0.1095,17.968067,0.3
129,4253640536567980032,281.0809749961,-4.99125744189,-1.207,-4.103,0.0633,16.930231,0.3
130,4253640983255443968,281.0674855459,-4.94446540423,-1.339,-3.638,0.3164,16.676416,0.4
131,4253640983243858688,281.06871665999,-4.95318405986,-1.049,-3.48,0.1568,17.347397,0.8
132,4253640811451905920,281.06439615668,-4.9679483322,-0.594,-3.211,0.2507,17.081678,0.3
133,4253641017615182592,281.06843247599,-4.93778549853,-0.212,-3.385,0.0397,17.707388,0.4
134,4253646588280323072,281.12668328358,-4.95526139559,-1.524,-4.022,0.3037,16.937231,0.3
135,4253640987616396160,281.06627599522,-4.95135900041,-1.45,-2.795,-0.0514,17.90754,0.4
136,4253647442886421376,281.1364396297,-4.89511681758,-1.372,-3.223,0.3227,15.882022,0.2
137,4253640880176226432,281.05868146097,-4.95862348378,-1.645,-3.54,0.3501,15.202405,0.2
138,4253640506580618880,281.07486657455,-4.9964191627,-0.589,-3.851,-0.0922,17.777603,0.5
139,4253646553920587904,281.11798661084,-4.96129024041,-1.803,-3.953,-0.1068,17.117624,0.2
140,4253640811451914240,281.06352465193,-4.96298417306,-1.106,-2.931,-0.0076,17.077162,0.3
141,4253641021976304000,281.07524414168,-4.93180091547,-0.819,-3.814,0.2407,17.480764,0.5
142,4253646897518132096,281.08794727873,-4.93541591171,-0.853,-3.893,-0.0829,16.463583,0.9
143,4253646863138879744,281.10593687836,-4.93350888379,-1.371,-3.551,-0.0413,17.218674,0.3
144,4253641017615184384,281.07193112511,-4.93824655443,-1.189,-3.223,0.1988,15.900778,0.7
145,4253641017615184512,281.07206965787,-4.9415121826,-0.849,-3.562,-0.093,16.421509,0.7
146,4253640811451912320,281.0575262824,-4.96573429996,-1.204,-2.898,0.2071,16.24852,0.4
147,4253641017615185536,281.0741443109,-4.93963716865,-0.796,-3.519,0.0978,16.354465,0.8
148,4253645935445238272,281.15250651069,-4.95136600955,-0.469,-3.258,0.2154,16.129265,0.1
149,4253646893130449792,281.07832902799,-4.93198116737,-1.058,-2.883,0.3616,15.486804,0.2
150,4253640747097680256,281.09375272978,-4.96177409985,-1.226,-3.256,0.156,15.952741,0.3
151,4253640605287465344,281.08085629218,-4.98037903618,-1.688,-3.598,0.3357,17.764082,0.1
152,4253645832366024320,281.14387572395,-4.9587061861,-1.183,-3.903,0.2147,17.123646,0.4
153,4253645724894431232,281.13671907644,-4.97783506049,-1.723,-3.806,0.0037,17.246897,0.3
154,4253647064924556672,281.11684103285,-4.89427015975,-0.74,-3.727,0.1786,16.54378,0.6
155,4253647030564780928,281.10863243226,-4.90635192592,-1.798,-3.58,0.208,16.48148,0.3
156,4253640472220429696,281.02826815269,-4.97762845022,-1.767,-3.755,0.3507,17.499783,0.1
157,4253640845811589888,281.041586842,-4.97635863591,-0.918,-3.009,0.0913,17.427454,0.4
158,4253640639653160832,281.09766447243,-4.9800607208,-1.601,-3.246,0.0329,16.846437,0.4
159,4253645724894442368,281.1350651091,-4.97558664067,-1.112,-4.197,0.3298,17.596193,0.1
160,4253640850177552640,281.04106440585,-4.96633116116,-1.176,-3.77,0.0955,17.556213,0.3
161,4253640987616506240,281.06216074989,-4.94750780094,-1.28,-4.166,0.0846,17.044111,0.2
162,4253646966218306944,281.11179994052,-4.91786039456,-1.187,-3.118,0.372,17.941147,0.1
163,4253641021976248576,281.07067335631,-4.93994563251,-0.885,-4.093,0.167,17.572306,0.4
164,4253646897498897152,281.08650704605,-4.93601412094,-0.846,-3.476,0.1909,15.419079,0.8
165,4253641021976255488,281.07764403343,-4.93341038167,-0.952,-3.727,0.2655,17.81507,0.6
166,4253640506605414528,281.06614181586,-4.99317081966,-0.151,-3.878,0.2005,17.165333,0.2
167,4253646897498900352,281.09218051048,-4.9313219432,-1.281,-3.787,0.0819,16.883068,0.3
168,4253641021976175488,281.07732686169,-4.93887957447,-1.209,-3.618,0.137,17.260536,0.6
169,4253640467854486144,281.03630087403,-4.9735900629,-0.411,-2.955,0.3239,17.186039,0.1
170,4253640712763852800,281.09151917117,-4.96784089233,-1.661,-3.256,0.0384,16.947016,0.2
171,4253645793613937280,281.1305533742,-4.97335881235,-1.111,-3.756,0.274,15.744877,0.1
172,4253641021976261760,281.06999857472,-4.93980341328,-1.225,-3.662,0.0852,17.653522,0.6
173,4253647000577794432,281.1275846024,-4.91526624998,-1.66,-4.061,0.4499,16.714808,0.3
174,4253647034937863040,281.10744130364,-4.91770734396,-1.008,-3.443,0.088,17.483154,0.7
175,4253646966237744128,281.11310382764,-4.91590980329,-1.161,-3.301,0.3955,16.451101,0.2
176,4253640811451881984,281.06208678047,-4.97361043703,-0.862,-3.982,0.029,16.745436,0.3
177,4253646828779112064,281.10133305742,-4.93902714781,-0.992,-3.852,0.0768,16.708054,0.7
178,4253647064924520064,281.11460982524,-4.90401780728,-0.521,-3.526,0.0309,17.237293,0.6
179,4253639785050853248,281.09626969477,-4.98733602976,-1.482,-3.761,0.2649,15.024543,0.2
180,4253640678404083840,281.11151584305,-4.96203890271,-0.862,-3.558,0.3263,14.615041,0.5
181,4253646961855698816,281.11532854497,-4.91503550885,-0.539,-3.557,0.1971,16.036945,0.2
182,4253639372707645184,281.07468689685,-5.00623261685,-1.192,-3.02,0.3225,17.05324,0.1
183,4253645793614535680,281.13013017885,-4.96389604369,-1.011,-3.886,0.4023,16.643597,0.2
184,4253639853770272640,281.13112936495,-4.97922278499,-0.849,-3.706,0.1614,16.71967,0.6
185,4253640506605365760,281.08186180087,-4.99783459906,-1.248,-2.925,0.1498,16.846703,0.2
186,4253647069297542016,281.12359750223,-4.90639201047,-1.753,-3.067,0.064,16.544174,0.2
187,4253641017615185152,281.07339263339,-4.9466588921,-0.373,-3.42,0.0914,16.482933,0.2
